,顧客ID,キャンセル回数
0,002152059,3
1,138120029,3
2,002752281,3
3,053342102,3
4,063752166,3
5,014512275,3
6,138610021,2
7,085310073,2
8,009252182,2
9,036632142,2
10,035212312,2
11,002630057,2
12,011612135,2
13,026452052,2
14,101250054,2
15,063252309,2
16,002123168,2
17,002612541,2
18,188610020,2
19,222310012,2
20,010852087,2
21,189120010,2
22,035332010,2
23,078332048,2
24,120410151,1
25,028152281,1
26,053732089,1
27,096710008,1
28,002212366,1
29,002552161,1
30,111520008,1
31,053912194,1
32,053612357,1
33,002412649,1
34,082112021,1
35,002252697,1
36,145510014,1
37,132810001,1
38,006322157,1
39,T00259794,1
40,029112292,1
41,002122348,1
42,230330004,1
43,002212976,1
44,038612200,1
45,060812097,1
46,T00261331,1
47,002251240,1
48,053632245,1
49,002412928,1
50,025322055,1
51,045312051,1
52,002220105,1
53,032122317,1
54,029322150,1
55,179210034,1
56,083322078,1
57,084252050,1
58,002212979,1
59,003632034,1
60,235350001,1
61,135120117,1
62,153910058,1
63,037612291,1
64,053122790,1
65,029732067,1
66,177750034,1
67,002610121,1
68,109620063,1
69,101150075,1
70,002123189,1
71,211510032,1
72,036112247,1
73,009722100,1
74,006422044,1
75,037722036,1
76,138810007,1
77,068005698,1
78,037152043,1
79,068005673,1
80,038332202,1
81,192320023,1
82,045112187,1
83,002512719,1
84,023711020,1
85,170630027,1
86,002722485,1
87,006632298,1
88,096410072,1
89,133710052,1
90,135410149,1
91,053712394,1
92,002413092,1
93,063722132,1
94,209630011,1
95,071712030,1
96,096310066,1
97,155610043,1
98,053752184,1
99,056612022,1
100,086150047,1
101,023652069,1
102,045412273,1
103,054752059,1
104,083322075,1
105,063122585,1
106,028412257,1
107,063112144,1
108,002123192,1
109,053132226,1
110,011122349,1
111,002122370,1
112,038332200,1
113,068005707,1
114,072512055,1
115,191220002,1
116,025442046,1
117,053332342,1
118,045152270,1
119,054432026,1
120,085110050,1
121,075252039,1
122,063512501,1
123,143310236,1
124,006512415,1
